Гай	47.91926	36.28836
Зелений Гай	47.91902	29.37908
Зелений Гай	47.87951	33.19972
Зелений Гай	47.74537	30.98609
Зелений Гай	47.61927	33.13142
Зелений Гай	47.41836	38.25787
Зелений Гай	47.39171	35.36448
Зелений Гай	47.39373	32.2017
Зелений Гай	47.31552	36.48484
Зелений Гай	47.16502	32.97851
Зелений Гай	47.01775	34.71152
Зелений Гай	46.82968	32.41698
Зелені Курилівці	48.64426	27.16161
Зелені Кошари	47.88146	30.84018
Агрономія	47.77007	31.31184
Зелене	48.76171	36.78094
Зелене	48.21503	37.19076
Зелене	47.96011	35.47874
Зелене	47.90719	36.06192
Степове	47.71164	36.59488
Кавунівка	47.30878	35.44554
Зелене	46.95171	31.73994
Зеленці	49.88581	27.12748
Зелене Поле	47.82673	36.62275
Зелене	49.31152	26.1019
Зелене	48.4574	33.42095
Зелене	47.94552	38.17179
Зелене	47.72351	33.22769
Зелене	47.15725	34.27952
Зелёное	44.67348	34.00877
Зелене	44.59583	34.00921
Зеленківка	49.64596	34.97559
Ивановка	49.15	34.4
Зеленівка	46.97217	36.22578
Зеленівка	46.71717	32.65697
Зеленівка	46.29792	30.00461
Зеленотропинське	46.27195	32.44576
Зеленопілля	47.92045	39.48381
Зеленопіль	47.55116	36.84682
Зеленогір’я	44.86978	34.72149
Зеленогірське	47.87793	30.09844
Зеленогірське	45.01249	34.46848
Зеленодольськ	47.55353	33.65648
Зелене	51.49818	26.1051
Зеленківка	50.85482	34.10028
Зеленьків	48.77869	30.6479
Зеленьки	49.75052	30.93019
Зелениця	48.53489	24.35647
Зелениця	51.45333	26.00663
Зелениця	50.74908	28.19021
Зеленчук	46.90203	35.10694
Зеленче	48.94055	26.71807
Зелена Рубанівка	46.69268	33.77888
Зелена Нива	45.93503	33.89163
Зелена Діброва	47.84103	35.96017
Зелена Долина	49.13028	37.80665
Зелена Долина	48.57538	36.19446
Зелена Долина	47.95016	36.10058
Зелена Балка	45.92901	29.57927
Станція Зелена	48.51025	33.50198
Зелена	46.89975	37.10503
Зелена	49.88394	26.79864
Зелена	49.52087	26.49419
Зелена	48.98496	26.20629
Зелена	48.52984	24.33359
Зелена	48.36385	26.73497
Зелене	48.05049	24.7517
Зелена	50.29948	23.68108
Зелене	50.39747	25.03199
Зеленів	48.35516	25.63885
Здвижка	50.24153	29.33206
Здвиж	51.01222	30.0616
Здрягівка	51.93003	31.74974
Здомишель	51.62253	24.42402
Здолбунівський район	50.5	26.33333
Здалбуніў	50.5206	26.24251
Здовбиця	50.49607	26.24111
Збитин	50.38123	25.87757
Збуж	50.98248	26.31552
Новозбур’ївка	44.91867	33.97174
Збруч	48.54066	26.44351
Зброжківка	47.19696	30.8711
Зброшкове	47.59546	31.05436
Збриж	48.91073	26.19799
Збраньківці	51.35777	29.04219
Збраньки	51.30139	28.6393
Збоївська	50.38059	24.57237
Збоїща	49.88333	24.05
Зборівський район	49.66673	25.13828
Зборів	49.66493	25.14019
Збора	49.11908	24.25564
Новосергіївка	47.46255	32.69758
Збаражский район	49.666	25.77808
Збаржівка	49.45839	29.52346
Збараж	49.66157	25.77925
Зазулинці	48.59153	25.9178
Зазимье	50.56923	30.67319
Заріка	50.21667	24.06667
Заріччя	51.1843	25.91557
Zаzdrіst	49.35064	25.51489
Зайці	50.30123	34.32146
Зайцеве	48.52675	38.07086
Зайцеве	48.42905	35.6713
Зайцеве	48.39478	38.02945
Займище	51.78656	31.89965
Займанка	49.13932	35.22672
Заїківка	49.45656	38.7557
Заїки	49.9703	36.40915
Заїченці	49.98809	34.55494
Заїченко	47.18422	37.86366
Заячівка	51.27837	25.19197
Заячківка	48.71135	29.96992
Острів Папанін	45.98793	34.73102
Зарче	48.15661	35.60835
Заячиці	50.69826	24.70197
Клекотина	48.7888	28.21793
Зав’язанці	49.67876	23.25318
Завій	48.94318	24.42323
Заворскло	49.45512	34.63197
Заворичі	50.69008	31.13384
Заворичі	50.70587	31.14122
Заводянка	49.61986	38.81641
Заводи	49.15345	37.07051
Заводське	50.05749	24.68165
Заводське	44.92019	34.07428
Колонія	47.13701	37.59973
Заводский район	47.88585	35.17235
Заводский район	46.94182	31.94979
Заводівка	47.04507	33.7962
Завозів	50.51862	26.5794
Завітне Бажання	47.72108	36.81969
Завидо-Кудашеве	48.46255	36.93655
Zаvydоvо	48.39384	22.90402
Завидів	50.58658	24.57083
Завидо-Борзенка	48.51201	36.92056
Завидче	50.29589	24.9339
Завітне	50.93578	25.48229
Завітне	45.32697	34.80837
Завітне	45.12305	36.39965
Завітне	44.83639	33.91198
Завіт-Ленінський	45.86258	34.3916
Завалля	48.60191	26.33361
Завалля	48.3897	25.59437
Завалля	48.21674	30.01741
Zаvаlіv	49.20789	25.03054
Завалля	49	29.8
Завалійки	49.45866	26.35172
Завадівка	49.35056	31.34115
Завадівка	49.50191	29.86765
Завадівка	49.14171	25.04765
Завадівка	49.14352	23.06658
Завадівка	48.512	29.54599
Заводівка	47.22533	30.81498
Завадів	49.94773	23.95106
Завадів	49.25431	23.76688
Завадка	49.1001	24.23161
Завадка	49.01027	23.18369
Завадка	48.787	23.12673
Завадівка	49.00779	26.51195
Заудайка	50.83765	32.19701
Затурці	50.78272	24.851
Затон	49.76496	33.76835
Кароліно-Бугаз	46.14993	30.54124
Затока	46.07016	30.46265
Затишшя	47.83077	29.37343
Затишшя	47.68374	36.32709
Затишне	47.52079	37.32498
Затишшя	47.33497	29.87797
Затишне	48.80897	35.94116
Загаркушине	49.13009	35.73105
Засулля	49.991	33.02812
Застав’я	50.65785	26.8482
Заставці	49.58728	27.61512
Заставне	50.59628	24.26973
Заставне	49.82049	24.42908
Запсонь	48.28034	22.47468
Заставнівський район	48.52311	25.84485
Станція Заставна	48.53333	25.86667
Заставна	48.52137	25.8426
Заставки	49.69776	26.95023
Заставне	50.37242	23.73417
Застава	46.46667	30.65
Заськи	51.33178	28.76601
Зашковичі	49.68377	23.66197
Zаškіv	49.95376	23.98657
Защита	48.82827	31.83291
Засілля	47.02488	32.4204
Засадки	49.51579	22.97437
Зорине	51.88261	33.98602
Зарябинка	50.21973	35.54069
Заря	52.19514	32.82621
Зоря	48.6606	34.80856
Заря	47.72286	31.33586
Заря	47.53969	33.07644
Зоря	47.26946	36.36678
Заря	47.26659	31.26834
Зоря	45.99124	29.69234
Заря	45.5047	34.52192
Зарваница	49.76437	25.00352
Заруцьке	51.65676	34.02659
Заруддя	51.44445	33.57355
Заруддя	50.78426	29.52339
Заруддя	49.78893	25.73771
Заруддя	49.65435	25.06352
Заруддя	49.5563	27.01729
Заруддя	49.20309	33.72362
Заруддя	49.15456	29.47999
Зарудці	49.97263	23.98448
Зарудинцы	49.65175	29.19108
Зарудинці	48.92484	28.93086
Зарудчі	51.77341	25.52589
Зарубинці	50.03854	29.13001
Зарубинка	50.75711	28.43319
Зарубинка	50.16618	37.55286
Зарубинці	49.12481	29.95335
Зарожне	49.93826	36.6894
Зарожани	48.41546	26.29894
Заровенка	50.8657	27.6879
Заріг	49.81295	32.65603
Заріччя	52.28172	32.43756
Заріччя	51.37806	24.8148
Заріччя	50.84029	24.30394
Заріччя	49.51756	22.78936
Заріччя	49.43894	26.99672
Заріччя	49.41424	24.10654
Zаrіtštšja	48.51828	24.64681
Заріччя	48.27945	22.99365
Заречі	46.01667	30.06667
Заріччя	45.36193	34.71056
Зарічненський район	50.9	34.8
Зарічне	51.8126	26.12902
Зарічне	49.21227	24.20531
Зарічне	45.8367	29.69867
Зарічне	45.73636	34.48345
Зарічне	44.85048	34.26426
Зарічка	51.16983	28.13657
Зарічово	48.77045	22.51968
